Iso3_code;Country;Region;Subregion;Indicator;Dimension;Category;Sex;Age;Year;Unit of measurement;VALUE;Source
AGO;Angola;Africa;Sub-Saharan Africa;Ammunition seized;Total;Total;na;na;2016;Counts;17377;IAFQ
AGO;Angola;Africa;Sub-Saharan Africa;Arms found;by type;machine gun;na;na;2016;Counts;2542;IAFQ
AGO;Angola;Africa;Sub-Saharan Africa;Arms found;by type;Total;na;na;2016;Counts;2542;IAFQ
AGO;Angola;Africa;Sub-Saharan Africa;Arms surrendered;by type;machine gun;na;na;2016;Counts;637;IAFQ
AGO;Angola;Africa;Sub-Saharan Africa;Arms surrendered;by type;Total;na;na;2016;Counts;637;IAFQ
AGO;Angola;Africa;Sub-Saharan Africa;Arms seized;by condition;otherwise illicitly manufactured;na;na;2016;Counts;11475;IAFQ
AGO;Angola;Africa;Sub-Saharan Africa;Arms seized;by marking;unknown Status On Marking;na;na;2016;Counts;11475;IAFQ
AGO;Angola;Africa;Sub-Saharan Africa;Arms seized;by legal justification of seizure;illicit posession;na;na;2016;Counts;6056;IAFQ
AGO;Angola;Africa;Sub-Saharan Africa;Arms seized;by legal justification of seizure;illicit use;na;na;2016;Counts;5419;IAFQ
AGO;Angola;Africa;Sub-Saharan Africa;Arms seized;by location;national territory;na;na;2016;Counts;5419;IAFQ
AGO;Angola;Africa;Sub-Saharan Africa;Arms seized;Total;Total;na;na;2016;Counts;11475;IAFQ
AGO;Angola;Africa;Sub-Saharan Africa;Arms seized;by condition;Total;na;na;2016;Counts;11475;IAFQ
AGO;Angola;Africa;Sub-Saharan Africa;Arms seized;by marking;Total;na;na;2016;Counts;11475;IAFQ
AGO;Angola;Africa;Sub-Saharan Africa;Arms seized;by legal justification of seizure;Total;na;na;2016;Counts;11475;IAFQ
AGO;Angola;Africa;Sub-Saharan Africa;Individuals convicted for illicit trafficking in weapons;Total;Total;Total;Total;2016;Counts;202;IAFQ
AGO;Angola;Africa;Sub-Saharan Africa;Individuals arrested/suspected for illicit trafficking in weapons;Total;Total;Total;Total;2016;Counts;307;IAFQ
AGO;Angola;Africa;Sub-Saharan Africa;Individuals prosecuted for illicit trafficking in weapons;Total;Total;Total;Total;2016;Counts;211;IAFQ
AGO;Angola;Africa;Sub-Saharan Africa;Individuals targeted by criminal justice system due to illicit trafficking in weapons;Total;Total;Total;Total;2016;Counts;720;IAFQ
AGO;Angola;Africa;Sub-Saharan Africa;Parts and components seized;Total;Total;na;na;2016;Counts;1259;IAFQ
AGO;Angola;Africa;Sub-Saharan Africa;Ammunition seized;Total;Total;na;na;2017;Counts;66077;IAFQ
AGO;Angola;Africa;Sub-Saharan Africa;Arms found;by type;machine gun;na;na;2017;Counts;2353;IAFQ
AGO;Angola;Africa;Sub-Saharan Africa;Arms found;by type;Total;na;na;2017;Counts;2353;IAFQ
AGO;Angola;Africa;Sub-Saharan Africa;Arms surrendered;by type;machine gun;na;na;2017;Counts;332;IAFQ
AGO;Angola;Africa;Sub-Saharan Africa;Arms surrendered;by type;Total;na;na;2017;Counts;332;IAFQ
AGO;Angola;Africa;Sub-Saharan Africa;Arms seized;by condition;otherwise illicitly manufactured;na;na;2017;Counts;10195;IAFQ
AGO;Angola;Africa;Sub-Saharan Africa;Arms seized;by marking;unknown Status On Marking;na;na;2017;Counts;10195;IAFQ
AGO;Angola;Africa;Sub-Saharan Africa;Arms seized;by legal justification of seizure;illicit posession;na;na;2017;Counts;4965;IAFQ
AGO;Angola;Africa;Sub-Saharan Africa;Arms seized;by legal justification of seizure;illicit use;na;na;2017;Counts;5230;IAFQ
AGO;Angola;Africa;Sub-Saharan Africa;Arms seized;by location;national territory;na;na;2017;Counts;4633;IAFQ
AGO;Angola;Africa;Sub-Saharan Africa;Arms seized;Total;Total;na;na;2017;Counts;10195;IAFQ
AGO;Angola;Africa;Sub-Saharan Africa;Arms seized;by condition;Total;na;na;2017;Counts;10195;IAFQ
AGO;Angola;Africa;Sub-Saharan Africa;Arms seized;by marking;Total;na;na;2017;Counts;10195;IAFQ
